ntdid,name,mode,servicetype,time,Small_Systems_Waiver_Fl,Begin_Tm,End_Tm,Rail_Cars_Num,vmt,vmt_rev,V_Pc_Deadmiles,Pass_Car_Sched_Rev_Miles_Num,Pass_Car_Hrs_Num,Pass_Car_Rev_Hrs_Num,V_Pc_Deadhours,Veh_Oper_Num,Veh_Miles_Num,Veh_Rev_Miles_Num,Train_Deadmiles,Veh_Hrs_Num,Veh_Rev_Hours_Num,Train_Deadhours,Charter_Hrs_Num,School_Bus_Hrs_Num,Unl_Pass_Trips_Num,Ada_Unl_Pass_Trips_Num,Sponsored_Service,pmt,Days_Operated_Num,Strike_Days_Num,Emergency_Days_Num
1,King County Department of Transportation - Metro Transit Division,DR,PT,Average Weekday - AM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,DR,PT,Average Weekday - Midday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,DR,PT,Average Weekday - PM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,DR,PT,Average Weekday - Other,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,DR,PT,Average Typical Weekday,N,0,2400,313,37289,31985,5304,,2499,2203,296,,,,0,,,0,,,3722,,,39853,261,,
1,King County Department of Transportation - Metro Transit Division,DR,PT,Average Typical Saturday,N,0,2400,129,16752,14129,2623,,1003,876,127,,,,0,,,0,,,1460,,,16528,52,,
1,King County Department of Transportation - Metro Transit Division,DR,PT,Average Typical Sunday,N,0,2400,118,15277,12758,2519,,935,814,121,,,,0,,,0,,,1357,,,14055,53,,
1,King County Department of Transportation - Metro Transit Division,DR,PT,Annual Total,N,,,,11413115,9758968,1654147,,753994,663829,90165,,,,0,,,0,,,1119392,1119392,,12006051,366,,
1,King County Department of Transportation - Metro Transit Division,DT,PT,Average Weekday - AM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,DT,PT,Average Weekday - Midday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,DT,PT,Average Weekday - PM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,DT,PT,Average Weekday - Other,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,DT,PT,Average Typical Weekday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,DT,PT,Average Typical Saturday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,DT,PT,Average Typical Sunday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,DT,PT,Annual Total,N,,,44,488614,488614,0,,18588,18588,0,,,,0,,,0,,,76736,45508,,583825,366,,
1,King County Department of Transportation - Metro Transit Division,MB,DO,Average Weekday - AM Peak,N,600,900,798,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,MB,DO,Average Weekday - Midday,N,900,1500,521,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,MB,DO,Average Weekday - PM Peak,N,1500,1800,874,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,MB,DO,Average Weekday - Other,N,,,722,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,MB,DO,Average Typical Weekday,N,0,2400,874,132200,101807,30393,99221,9746,8318,1428,,,,0,,,0,,,305556,,,1528445,255,,
1,King County Department of Transportation - Metro Transit Division,MB,DO,Average Typical Saturday,N,0,2400,337,71973,64401,7572,56725,6252,5901,351,,,,0,,,0,,,193964,,,744838,52,,
1,King County Department of Transportation - Metro Transit Division,MB,DO,Average Typical Sunday,N,0,2400,248,54841,49267,5574,43711,4628,4361,267,,,,0,,,0,,,127071,,,516682,59,,
1,King County Department of Transportation - Metro Transit Division,MB,DO,Annual Total,N,,,,40770256,32273484,8496772,30830013,3088533,2685339,403194,,,,0,,,0,,,94652420,,,454591520,366,,
1,King County Department of Transportation - Metro Transit Division,MB,PT,Average Weekday - AM Peak,N,600,900,28,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,MB,PT,Average Weekday - Midday,N,900,1500,35,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,MB,PT,Average Weekday - PM Peak,N,1500,1800,33,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,MB,PT,Average Weekday - Other,N,,,18,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,MB,PT,Average Typical Weekday,N,450,2208,35,4288,3588,700,3561,315,286,29,,,,0,,,0,,,3200,,,12136,255,,
1,King County Department of Transportation - Metro Transit Division,MB,PT,Average Typical Saturday,N,618,2102,18,2438,1972,466,1971,176,157,19,,,,0,,,0,,,1804,,,6317,52,,
1,King County Department of Transportation - Metro Transit Division,MB,PT,Average Typical Sunday,N,918,1921,6,549,447,102,447,37,33,4,,,,0,,,0,,,506,,,1417,59,,
1,King County Department of Transportation - Metro Transit Division,MB,PT,Annual Total,N,,,,1252620,1043942,208678,1036988,91634,82976,8658,,,,0,,,0,,,939664,,,3506723,366,,
1,King County Department of Transportation - Metro Transit Division,SR,DO,Average Weekday - AM Peak,N,600,900,2,,32,-32,,,,0,2,,,0,,,0,,,553,,,,,,
1,King County Department of Transportation - Metro Transit Division,SR,DO,Average Weekday - Midday,N,900,1500,3,,65,-65,,,,0,3,,,0,,,0,,,873,,,,,,
1,King County Department of Transportation - Metro Transit Division,SR,DO,Average Weekday - PM Peak,N,1500,1800,3,,42,-42,,,,0,3,,,0,,,0,,,872,,,,,,
1,King County Department of Transportation - Metro Transit Division,SR,DO,Average Weekday - Other,N,,,3,,46,-46,,,,0,3,,,0,,,0,,,262,,,,,,
1,King County Department of Transportation - Metro Transit Division,SR,DO,Average Typical Weekday,N,535,2200,3,186,185,1,191,35,35,0,3,186,185,1,35,35,0,,,2561,,,2156,255,,
1,King County Department of Transportation - Metro Transit Division,SR,DO,Average Typical Saturday,N,535,2332,2,187,186,1,191,35,35,0,2,187,186,1,35,35,0,,,1099,,,1131,52,,
1,King County Department of Transportation - Metro Transit Division,SR,DO,Average Typical Sunday,N,935,1932,2,100,99,1,105,19,19,0,2,100,99,1,19,19,0,,,674,,,681,57,,
1,King County Department of Transportation - Metro Transit Division,SR,DO,Annual Total,N,,,,62873,62522,351,64509,11900,11736,164,,62873,62522,351,11900,11736,164,,,750866,,,650023,364,,
1,King County Department of Transportation - Metro Transit Division,TB,DO,Average Weekday - AM Peak,N,600,900,102,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,TB,DO,Average Weekday - Midday,N,900,1500,100,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,TB,DO,Average Weekday - PM Peak,N,1500,1800,122,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,TB,DO,Average Weekday - Other,N,,,116,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,TB,DO,Average Typical Weekday,N,0,2400,122,10743,10278,465,10564,1563,1503,60,,,,0,,,0,,,73275,,,133283,255,,
1,King County Department of Transportation - Metro Transit Division,TB,DO,Average Typical Saturday,N,0,2400,65,392,380,12,8035,51,50,1,,,,0,,,0,,,1816,,,3441,52,,
1,King County Department of Transportation - Metro Transit Division,TB,DO,Average Typical Sunday,N,0,2400,48,1493,1450,43,6376,190,185,5,,,,0,,,0,,,6702,,,13049,59,,
1,King County Department of Transportation - Metro Transit Division,TB,DO,Annual Total,N,,,,2847970,2726303,121667,3487930,412484,396779,15705,,,,0,,,0,,,18970601,,,34558979,366,,
1,King County Department of Transportation - Metro Transit Division,VP,DO,Average Weekday - AM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,VP,DO,Average Weekday - Midday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,VP,DO,Average Weekday - PM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,VP,DO,Average Weekday - Other,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,VP,DO,Average Typical Weekday,N,,,1291,53708,53708,0,,1477,1477,0,,,,0,,,0,,,13317,,,273243,255,,
1,King County Department of Transportation - Metro Transit Division,VP,DO,Average Typical Saturday,N,,,44,2109,2109,0,,58,58,0,,,,0,,,0,,,523,,,10732,52,,
1,King County Department of Transportation - Metro Transit Division,VP,DO,Average Typical Sunday,N,,,28,1343,1343,0,,37,37,0,,,,0,,,0,,,333,,,6833,59,,
1,King County Department of Transportation - Metro Transit Division,VP,DO,Annual Total,N,,,,13884402,13884402,0,,381957,381957,0,,,,0,,,0,,,3442589,,,70638105,366,,
2,Spokane Transit Authority,DR,DO,Average Weekday - AM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,DR,DO,Average Weekday - Midday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,DR,DO,Average Weekday - PM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,DR,DO,Average Weekday - Other,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,DR,DO,Average Typical Weekday,N,620,1720,59,5415,5000,415,,361,335,26,,,,0,,,0,,,1011,,,7510,254,,
2,Spokane Transit Authority,DR,DO,Average Typical Saturday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,DR,DO,Average Typical Sunday,N,600,1500,18,2755,2242,513,,90,72,18,,,,0,,,0,,,1099,,,8129,1,,
2,Spokane Transit Authority,DR,DO,Annual Total,N,,,,1378111,1272186,105925,,91704,85246,6458,,,,0,,,0,,,257891,257891,,1907620,255,,
2,Spokane Transit Authority,DR,PT,Average Weekday - AM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,DR,PT,Average Weekday - Midday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,DR,PT,Average Weekday - PM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,DR,PT,Average Weekday - Other,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,DR,PT,Average Typical Weekday,N,505,2355,42,4197,3672,525,,255,227,28,,,,0,,,0,,,694,,,4710,254,,
2,Spokane Transit Authority,DR,PT,Average Typical Saturday,N,530,2225,32,3366,2981,385,,207,191,16,,,,0,,,0,,,506,,,3194,52,,
2,Spokane Transit Authority,DR,PT,Average Typical Sunday,N,720,2035,35,3328,2884,444,,198,179,19,,,,0,,,0,,,495,,,3687,60,,
2,Spokane Transit Authority,DR,PT,Annual Total,N,,,,1440623,1260721,179902,,87380,78233,9147,,,,0,,,0,,,232215,232215,,1583657,366,,
2,Spokane Transit Authority,MB,DO,Average Weekday - AM Peak,N,600,900,109,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,MB,DO,Average Weekday - Midday,N,900,1500,97,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,MB,DO,Average Weekday - PM Peak,N,1500,1759,104,,,0,,,,0,,,,0,,,0,,,,,,,,,
