ntdid,name,ssw,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,vmt,vmt_rev,Deadhead Miles,Scheduled Vehicle Revenue Miles,Actual Vehicle Hours,Vehicle Revenue Hours,Deadhead Hours,Charter Service Hours,School Bus Hours,Train Cars in Operation,Actual Miles,Revenue Miles,Deadhead Miles,Actual Hours,Revenue Hours,Deadhead Hours,Unlinked Passenger Trips,ADA Trips,Sponsored Service Trips,pmt,Days of Service Operated,Days not operated due to strikes,Strike description,Days not operated due to officially declared emergencies,Emergency description
1,King County Department of Transportation - Metro Transit Division,N,DR,PT,Annual Total,,,,11289080,9676769,1612311,,761236,671393,89843,,,,,,,,,,1103355,1103355,,11838586,365,,,,
1,King County Department of Transportation - Metro Transit Division,N,DR,PT,Average Typical Saturday,0,2400,134,17092,14386,2706,,1051,919,132,,,,,,,,,,1500,,,16983,52,,,,
1,King County Department of Transportation - Metro Transit Division,N,DR,PT,Average Typical Sunday,0,2400,124,15334,12859,2475,,949,831,118,,,,,,,,,,1371,,,14197,52,,,,
1,King County Department of Transportation - Metro Transit Division,N,DR,PT,Average Typical Weekday,0,2400,323,36793,31648,5145,,2518,2224,294,,,,,,,,,,3655,,,39146,261,,,,
1,King County Department of Transportation - Metro Transit Division,N,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,DT,PT,Annual Total,,,45,650286,650286,0,,25150,25150,0,,,,,,,,,,86383,55112,,772903,365,,,,
1,King County Department of Transportation - Metro Transit Division,N,DT,PT,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,DT,PT,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,DT,PT,Average Typical Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,DT,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,DT,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,DT,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,DT,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,DO,Annual Total,,,,40368618,32050649,8317969,31574754,3079797,2679291,400506,,,,,,,,,,97702516,,,484205078,365,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,DO,Average Typical Saturday,0,2400,410,70632,62565,8067,58356,6138,5689,449,,,,,,,,,,198692,,,766593,52,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,DO,Average Typical Sunday,0,2400,298,55771,50443,5328,46008,4802,4534,268,,,,,,,,,,135099,,,536154,58,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,DO,Average Typical Weekday,0,2400,951,130817,101059,29758,101458,9702,8316,1386,,,,,,,,,,312716,,,1623348,255,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,DO,Average Weekday - AM Peak,600,900,873,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,DO,Average Weekday - Midday,900,1500,486,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,DO,Average Weekday - Other,,,668,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,DO,Average Weekday - PM Peak,1500,1800,951,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,PT,Annual Total,,,,1305753,1078821,226932,1080064,91039,81962,9077,,,,,,,,,,1007014,,,3810983,365,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,PT,Average Typical Saturday,618,2102,19,2572,2077,495,2077,185,165,20,,,,,,,,,,1951,,,6912,52,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,PT,Average Typical Sunday,916,1922,5,578,468,110,468,40,35,5,,,,,,,,,,566,,,1581,58,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,PT,Average Typical Weekday,448,2208,33,4465,3701,764,3705,310,280,30,,,,,,,,,,3423,,,13176,255,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,PT,Average Weekday - AM Peak,550,830,27,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,PT,Average Weekday - Midday,830,1518,25,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,PT,Average Weekday - Other,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,PT,Average Weekday - PM Peak,1518,1758,33,,,,,,,,,,,,,,,,,,,,,,,,,
