ntdid,4 Digit NTDID,name,reporter,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,veh_avai,Vehicles in Operation,vmt,vmt_rev,Deadhead Miles,Scheduled Revenue Miles,Total actual hours,Total actual revenue hours,Deadhead hours,Charter service hours,School bus hours,Trains in operation,Total actual miles,Total actual revenue miles,Deadhead Miles,Total actual hours,Total actual revenue hours,Deadhead hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service,pmt,Days of service operated,Days not operated due to strikes,Strike Comment,Days not operated due to officially declared emergencies,Emergency Comment,BRT Non-Statutory Mixed Traffic,Mixed Traffic Right of Way (ROW)
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,DR,PT,Average Typical Weekday,12:00:00 AM,12:00:00 AM,,,327,33211,28270,4941,,2332,2044,288,,,,,,,,,,3347,,,37000,261,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,DR,PT,Average Typical Saturday,12:00:00 AM,12:00:00 AM,,,132,15448,12993,2455,,991,869,122,,,,,,,,,,1399,,,16022,52,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,DR,PT,Average Typical Sunday,12:00:00 AM,12:00:00 AM,,,126,14356,11944,2412,,916,797,119,,,,,,,,,,1278,,,14138,52,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,DR,PT,Annual Total,,,327,346,,10217788,8675205,1542583,,707748,620175,87573,,,,,,,,,,1012715,1012715,,11225229,,,,,,0,0
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,DT,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,DT,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
