ntdid,Legacy NTD ID,name,Reporter Acronym,Doing Business As,Reporter Status,reporter,mode,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,city,state,zipcode,zipext,P.O. Box,region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
1,1,King County Department of Transportation - Metro Transit Division,King County Metro, ,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,201 South Jackson Street,M.S. KSC-TR-0333,Seattle,WA,98104,3856,,10,http://metro.kingcounty.gov/,1731,805622313,"2,134","2,117,125",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,"2,479",396,"2,875",,
2,2,Spokane Transit Authority,STA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,1230 West Boone Avenue,,Spokane,WA,99201,,,10,http://www.spokanetransit.com/,1733,60044575,248,"409,271",96,"Spokane, WA",,"387,847","2,362",164,Y,263,48,311,,
3,3,Pierce County Transportation Benefit Area Authority,Pierce Transit,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,"3701 96th Street, S.W.",,Tacoma,WA,98496,70,99070,10,http://www.piercetransit.org/,1730,17850363,292,"557,069",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,449,58,507,,
4,0T04,Confederated Tribes of the Colville Indian Reservation,,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,CCT DOT,,Nespelem,WA,99155,,150,10,http://www.colvilletribes.com/,6683,112167510,"2,100","7,587",0,Washington Non-UZA,"Colville Reservation and Off-Reservation Trust Land, WA",0,0,0,,3,,3,,
5,5,Everett Transit,ET,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,3225 Cedar Street,,Everett,WA,98201,,,10,http://www.everettwa.org/transit/,1743,155780190,34,"106,736",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,56,,56,,
6,6,Yakima Transit,YT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,2301 Fruitvale Boulevard,,Yakima,WA,98902,1298,,10,http://www.yakimatransit.org/,1750,78212651,33,"100,715",248,"Yakima, WA",,"129,534","2,165",60,Y,39,30,69,,
7,7,Lane Transit District,LTD,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,3500 East 17th Avenue,,Eugene,OR,97403,,,10,http://www.ltd.org/,1738,60588639,482,"302,200",151,"Eugene, OR",,"247,421","2,852",87,Y,79,246,325,,
8,8,Tri-County Metropolitan Transportation District of Oregon,TriMet,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,"1800 SW 1st Avenue, Suite 300",,Portland,OR,97201,5354,,10,http://www.trimet.org/,1728,7909096,534,"1,560,803",24,"Portland, OR-WA",,"1,849,898","3,528",524,Y,638,280,918,,
9,0T09,Kalispel Tribe of Indians,KTI,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,P.O. Box 39,,Usk,WA,99180,39,,10,http://www.kalispeltribe.com/,6680,,0,0,0,Washington Non-UZA,"Kalispel Reservation and Off-Reservation Trust Land, WA",0,0,0,,8,,8,,
10,0T10,Klamath Tribes,KT,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,P.O. Box 436,,Chiloquin,OR,97624,,436,10,http://www.klamathtribes.org/,6806,161155288,0,0,0,Oregon Non-UZA,"Klamath Reservation, OR",0,0,0,,6,,6,,
