ntdid,Legacy NTD ID,name,reporter,Form Module Type,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,veh_avai,Vehicles/ Passenger Cars in Operation,vmt,vmt_rev,Actual Vehicles/ Passenger Deadhead Miles,Scheduled Actual Vehicles/ Passenger Car Revenue Miles,Actual Vehicles/ Passenger Car Hours,Actual Vehicles/ Passenger Car Revenue Hours,Actual Vehicles/ Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Trains in Operation,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,pmt,Days of Service Operated,Days Not Operated Due to Strikes,Strike Comment,Days Not Operated Due to Emergencies,Emergency Comment,Non-Statutory Mixed Traffic, DRM Mixed Traffic ROW 
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DR,PT,Average Typical Weekday,0:00:00,0:00:00,,,,25972,21542,4430,,2030,1766,264,,,,,,,,,,2961,,,33027,261,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DR,PT,Average Typical Saturday,0:00:00,0:00:00,,,,12996,10641,2355,,915,792,123,,,,,,,,,,1281,,,14678,52,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DR,PT,Average Typical Sunday,0:00:00,0:00:00,,,,12589,10189,2400,,879,755,124,,,,,,,,,,1215,,,13441,52,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DR,PT,Annual Total,,,321,327,,8109136,6705640,1403496,,623109,541381,81728,,,,,,,,,,902627,902627,,10082121,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DT,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DT,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DT,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DT,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DT,PT,Average Typical Weekday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DT,PT,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DT,PT,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DT,PT,Annual Total,,,45,45,,,1257248,,,,43515,,,,,,,,,,,110020,85961,,1452968,365,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,DO,Average Weekday - AM Peak,6:00:00,9:00:00,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,DO,Average Weekday - Midday,9:00:00,15:00:00,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,DO,Average Weekday - PM Peak,15:00:00,18:00:00,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,DO,Average Typical Weekday,0:00:00,23:59:00,,,,124986,97752,27234,98297,9656,8404,1252,,,,,,,,,,324503,,,1656944,255,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,DO,Average Typical Saturday,0:00:00,23:59:00,,,,71415,63142,8273,58359,6375,5944,431,,,,,,,,,,201510,,,780106,52,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,DO,Average Typical Sunday,0:00:00,23:59:00,,,,57003,51279,5724,46509,5043,4755,288,,,,,,,,,,141659,,,567296,58,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,DO,Annual Total,,,871,1313,,39444808,31651853,7792955,30797960,3106165,2727991,378174,,,,,,,,,,101362881,,,496404999,,,,,,,1152
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,PT,Average Weekday - AM Peak,6:00:00,9:00:00,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,PT,Average Weekday - Midday,9:00:00,15:00:00,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,PT,Average Weekday - PM Peak,15:00:00,18:00:00,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,PT,Average Typical Weekday,4:45:00,21:45:00,,,,4772,3846,926,3854,314,277,37,,,,,,,,,,3232,,,13469,255,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,PT,Average Typical Saturday,8:20:00,21:02:00,,,,1561,1288,273,1288,122,111,11,,,,,,,,,,1615,,,5465,52,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,PT,Average Typical Sunday,9:13:00,19:26:00,,,,495,356,139,356,34,29,5,,,,,,,,,,552,,,1470,58,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,PT,Annual Total,,,30,58,,1326685,1068355,258330,1070458,88499,78165,10334,,,,,,,,,,940099,,,3804029,,,,,,,234
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,SR,DO,Average Weekday - AM Peak,6:00:00,9:00:00,,,2,,,,,,,,,,2,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,SR,DO,Average Weekday - Midday,9:00:00,14:18:00,,,2,,,,,,,,,,2,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,SR,DO,Average Weekday - PM Peak,14:18:00,18:15:00,,,3,,,,,,,,,,3,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,SR,DO,Average Weekday - Other,,,,,2,,,,,,,,,,2,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,SR,DO,Average Typical Weekday,5:35:00,22:00:00,,,3,175,174,1,195,37,36,1,,,3,175,174,1,37,36,1,2082,,,1682,255,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,SR,DO,Average Typical Saturday,5:35:00,23:32:00,,,2,191,190,1,191,36,35,1,,,2,191,190,1,36,35,1,1033,,,1082,52,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,SR,DO,Average Typical Sunday,9:35:00,19:32:00,,,2,104,103,1,105,20,19,1,,,2,104,103,1,20,19,1,673,,,672,56,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,SR,DO,Annual Total,,,3,4,,60336,59960,376,65496,12306,12130,176,,,,60336,59960,376,12306,12130,176,622219,,,522888,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,TB,DO,Average Weekday - AM Peak,6:00:00,9:00:00,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,TB,DO,Average Weekday - Midday,9:00:00,15:00:00,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
