ntdid,Legacy NTD ID,name,Reporter Acronym,Doing Business As,Reporter Status,reporter,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,city,state,zipcode,zipext,region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
1,1,King County Department of Transportation,KCDOT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,201 South Jackson Street,M.S. KSC-TR-0333,,Seattle,WA,98104,3856,10,http://metro.kingcounty.gov/,1731,805622313,"2,134","2,117,125",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,"2,566",252,"2,818",,
2,2,Spokane Transit Authority,STA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,1230 West Boone Avenue,,,Spokane,WA,99201,,10,http://www.spokanetransit.com/,1733,60044575,248,"409,271",96,"Spokane, WA",,"387,847","2,362",164,Y,260,47,307,,
3,3,Pierce County Transportation Benefit Area Authority,Pierce Transit,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,"3701 96th Street, S.W.",,99070,Tacoma,WA,98496,70,10,http://www.piercetransit.org/,1730,17850363,292,"547,975",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,473,60,533,,
4,0T04,Confederated Tribes of the Colville Indian Reservation,,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,CCT DOT,,150,Nespelem,WA,99155,,10,http://www.colvilletribes.com/,6683,112167510,,,0,Washington Non-UZA,"Colville Reservation and Off-Reservation Trust Land, WA",0,0,0,,6,,6,,
5,5,Everett Transit,ET,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,3225 Cedar Street,,,Everett,WA,98201,,10,http://www.everettwa.org/transit/,1743,155780190,34,"106,736",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,58,,58,,
6,6,Yakima Transit,YT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,2301 Fruitvale Boulevard,,,Yakima,WA,98902,1298,10,http://www.yakimatransit.org/,1750,78212651,33,"100,715",248,"Yakima, WA",,"129,534","2,165",60,Y,35,28,63,,
7,7,Lane Transit District,LTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,3500 East 17th Avenue,,,Eugene,OR,97403,,10,http://www.ltd.org/,1738,60588639,482,"302,200",151,"Eugene, OR",,"247,421","2,852",87,Y,81,261,342,,
8,8,Tri-County Metropolitan Transportation District of Oregon,TriMet,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,"1800 SW 1st Avenue, Suite 300",,,Portland,OR,97201,5354,10,http://www.trimet.org/,1728,7909096,534,"1,560,803",24,"Portland, OR-WA",,"1,849,898","3,528",524,Y,650,300,950,,
9,0T09,Kalispel Tribe of Indians,KTI,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,P.O. Box 39,,,Usk,WA,99180,39,10,http://www.kalispeltribe.com/,6680,,,,0,Washington Non-UZA,"Kalispel Reservation and Off-Reservation Trust Land, WA",0,0,0,,8,,8,,
10,0T10,Klamath Tribes,KT,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,501 Chiloquin Blvd.,,436,Chiloquin,OR,97624,,10,http://www.klamathtribes.org/,6806,161155288,0,0,0,Oregon Non-UZA,"Klamath Reservation, OR",0,0,0,,6,,6,,
11,11,Valley Regional Transit,VRT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,700 N East 2nd St.,Suite 100,,Meridian,ID,83642,,10,http://www.valleyregionaltransit.org/,1736,139758973,66,"338,759",108,"Boise City, ID",,"349,684","2,613",134,Y,60,,60,,
12,12,Municipality of Anchorage - Public Transportation Department,People Mover,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,"3600 Dr Martin Luther King, Jr Avenue",,196650,Anchorage,AK,99519,6650,10,http://www.peoplemover.org/,1707,76667013,77,"299,037",149,"Anchorage, AK",,"251,243","2,956",85,Y,43,109,152,,
13,0T13,Orutsararmiut Native Council,ONC,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,P.O. Box 927,,927,Bethel,AK,99559,927,10,http://www.nativecouncil.org/,6670,62762976,,,0,Alaska Non-UZA,"Bethel ANVSA, AK",0,0,0,,,,,,
14,0T14,Sitka Tribe of Alaska,STA,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,456 Katlian Street,,,Sitka,AK,99835,,10,www.sitkatribe.org,6669,67348383,0,0,0,Alaska Non-UZA,"Sitka ANVSA, AK",0,0,0,,1,,1,,
15,0T15,Snoqualmie Indian Tribe,,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,9571 Ethan Wade Way SE,PO Box 969,969,Snoqualmie,WA,98065,,10,http://www.svtbus.org/,6685,963676044,,,0,Washington Non-UZA,"Snoqualmie Reservation, WA",0,0,0,,4,,4,,
16,16,RiverCities Transit,RCT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,P.O. Box 128,254 Oregon Way,128,Longview,WA,98632,,10,http://www.rctransit.org/,1747,612643619,23,"49,200",431,"Longview, WA-OR",,"63,952","1,946",33,Y,10,13,23,,
17,0T17,Stillaguamish Tribe of Indians,,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,3322 236th Street NE,,277,Arlington,WA,98223,277,10,http://www.stillaguamish.com/,6801,34340406,,,0,Washington Non-UZA,"Stillaguamish Reservation and Off-Reservation Trust Land, WA",0,0,0,,22,,22,,
18,18,Ben Franklin Transit,BFT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,1000 Columbia Park Trail,,,Richland,WA,99352,,10,http://www.bft.org/,1742,61038006,616,"251,151",171,"Kennewick-Pasco, WA",,"210,975","2,059",102,Y,377,54,431,,
19,19,Intercity Transit,I.T.,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,526 Southeast Pattison Street,,659,Olympia,WA,98507,659,10,http://www.intercitytransit.com/,1745,50154525,101,"178,328",195,"Olympia-Lacey, WA",,"176,617","1,673",106,Y,286,,286,,
20,20,Kitsap Transit,,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,60 Washington Ave. Suite 200,,,Bremerton,WA,98337,,10,http://kitsaptransit.org/,1746,803857184,396,"254,183",180,"Bremerton, WA",,"198,979","1,458",136,Y,253,4,257,,
