ntdid,lntdid,name,reporter,area,mode,servicetype,time,tstart,tend,veh_oper,veh_avai,trn_oper,veh_oper2,vmt,vmt_rev,vmt_dead,vmt_sche_rev,veh_hr,veh_hr_rev,veh_hr_dead,chrtr_hr,schl_hr,trn_mi,trn_mi_rev,trn_mi_dead,trn_hr,trn_hr_rev,trn_hr_dead,upt,ada_upt,spsr_upt,pmt,day_serv,day_nserv_str,strike,day_nser_emer,emer,mix_traffic,mix_traffic_drm
1,1,King County Department of Transportation,Full Reporter,Urban,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DR,PT,Average Typical Weekday,12:00 AM,12:00 AM,,,,174,31161,26447,4714,,2250,1962,288,,,,,,,,,2919,,,32560,255,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DR,PT,Average Typical Sunday,12:00 AM,12:00 AM,,,,76,12506,10375,2131,,849,735,114,,,,,,,,,1088,,,12037,58,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DR,PT,Average Typical Saturday,12:00 AM,12:00 AM,,,,73,13379,11103,2276,,936,810,126,,,,,,,,,1194,,,13681,52,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DR,PT,Annual Total,,,174,328,,,9380470,7934196,1446274,,672542,585957,86585,,,,,,,,,870776,870776,,9725896,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DT,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DT,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DT,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DT,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DT,PT,Average Typical Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DT,PT,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DT,PT,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,DT,PT,Annual Total,,,46,46,,,,1336929,,,,43545,,,,,,,,,,110665,90508,,1532467,366,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,FB,DO,Average Weekday - PM Peak,3:15 PM,7:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
