company,route,state1,state2,state3,urban_area1,urban_area2,urban_area3,bus_arr,pass_arr,bus_dep,pass_dep,capacity,location,level
ABC Bus Tour,Carolinas,North Carolina,South Carolina,,,,,3,143.1248495,3,125.1312439,42.75,69 Chrystie St,
Academy Bus Lines,Casinos: Atlantic City to PABT,New Jersey,,,"Atlantic City, NJ",,,5,76,4,47,51.3,PABT,LL-SW
Academy Bus Lines,Casinos: Yonkers to PABT,,,,,,,2,10,3,48.33333333,51.3,PABT,LL-SW
Academy Bus Lines,Jackson - Wall St.,New Jersey,,,,,,2,57,2,45,51.3,Greenwich/Battery,
Academy Bus Lines,Jackson/Parkway Express - Midtown,New Jersey,,,,,,6,157,0,0,51.3,-,
Academy Bus Lines,Jackson/Parkway Express - PABT,New Jersey,,,,,,6,113,14,410,51.3,PABT,LL-SW
Academy Bus Lines,Parkway Express - PABT,,,,,,,9,383.8253968,8,300.1605364,51.3,PABT,LL-SW
Academy Bus Lines,Parkway Express - Wall St.,,,,,,,8,300,10,298,51.3,Greenwich/Battery,
Academy Bus Lines,Parkway Express - Wall St. via JC,,,,,,,5,185.5864625,0,0,51.3,Greenwich/Battery,
Academy Bus Lines,PNC Arts Center - PABT,,,,,,,26,1032.02381,16,724.7142857,51.3,PABT,LL-SW
Academy Bus Lines,Route 35 - PABT,,,,,,,2,93,2,83.7164751,51.3,PABT,LL-SW
Academy Bus Lines,Route 36 - PABT,,,,,,,37,1262.36556,38,1358,51.3,PABT,LL-SW
Academy Bus Lines,Route 36 - Wall St.,,,,,,,8,283,8,224,51.3,Greenwich/Battery,
Academy Bus Lines,Route 9 - Wall St.,,,,,,,29,1137,31,1147,51.3,Greenwich/Battery,
Academy Bus Lines,Sayreville - Midtown,New Jersey,,,,,,4,128,4,131,51.3,5 Av & 56 St,
Academy Bus Lines,Sayreville - Wall St.,New Jersey,,,,,,4,103,4,96,51.3,Greenwich/Battery,
Academy Bus Lines,Shore Points/Lincroft - Wall St.,New Jersey,,,,,,0,0,5,155.047619,51.3,Greenwich/Battery,
Academy Bus Lines,Shore Points/Other - PABT,New Jersey,,,,,,17,435,16,477,51.3,PABT,LL-SW
Academy Bus Lines,Shore Points/Red Bank - PABT,New Jersey,,,,,,5,172,9,362,51.3,PABT,LL-SW
Academy Bus Lines,Shore Points/Red Bank - Wall St.,New Jersey,,,,,,7,288,7,242,51.3,Greenwich/Battery,
Academy Bus Lines,Willingboro/Westampton - PABT,New Jersey,,,,,,12,342,12,385,51.3,PABT,LL-SW
Academy Bus Lines,Willingboro/Westampton - Wall St.,New Jersey,,,,,,3,114,2,76,51.3,Greenwich/Battery,
Academy Bus Lines,X23,,,,,,,17,585,19,733.5030303,51.3,5 Av & 59 St,
Academy Bus Lines,X24,,,,,,,18,632.8,20,762.7725338,51.3,5 Av & 59 St,
Academy/BestBus/DC2NY,Vienna/Fairfax,Virginia,,,,,,3,146.7582336,3,116.0059852,42.75,34 St & 9 Av,
Academy/BestBus/DC2NY,Washington,District of Columbia,,,"Washington, DC--VA--MD",,,8,395.6450591,7,291.1758245,42.75,34 St & 9 Av,
