state,statename,year,gdp_all,gdp_transit
AL,Alabama,2012,185878,98
AK,Alaska,2012,60890,113
AZ,Arizona,2012,264693,549
AR,Arkansas,2012,109226,58
CA,California,2012,2131199,3181
CO,Colorado,2012,272799,348
CT,Connecticut,2012,239462,778
DE,Delaware,2012,60628,80
DC,District of Columbia,2012,109685,99
FL,Florida,2012,764136,901
GA,Georgia,2012,439058,387
HI,Hawaii,2012,72532,181
ID,Idaho,2012,58105,72
IL,Illinois,2012,711370,1657
IN,Indiana,2012,299996,338
IA,Iowa,2012,158246,117
KS,Kansas,2012,140964,139
KY,Kentucky,2012,177046,151
LA,Louisiana,2012,241378,265
ME,Maine,2012,52580,89
MD,Maryland,2012,332500,797
MA,Massachusetts,2012,434098,1375
MI,Michigan,2012,416701,354
MN,Minnesota,2012,292920,611
MS,Mississippi,2012,101351,64
MO,Missouri,2012,266245,394
MT,Montana,2012,42349,57
NE,Nebraska,2012,101973,79
NV,Nevada,2012,125440,1189
NH,New Hampshire,2012,66948,135
NJ,New Jersey,2012,514662,1735
NM,New Mexico,2012,90146,116
NY,New York,2012,1301041,7111
NC,North Carolina,2012,438350,386
ND,North Dakota,2012,52493,73
OH,Ohio,2012,550299,473
OK,Oklahoma,2012,174305,70
OR,Oregon,2012,196973,340
PA,Pennsylvania,2012,637896,1375
RI,Rhode Island,2012,50997,118
SC,South Carolina,2012,174567,134
SD,South Dakota,2012,43056,44
TN,Tennessee,2012,278298,325
TX,Texas,2012,1437893,1202
UT,Utah,2012,128018,136
VT,Vermont,2012,28195,61
VA,Virginia,2012,441144,770
WA,Washington,2012,388922,482
WV,West Virginia,2012,70969,26
WI,Wisconsin,2012,272420,915
WY,Wyoming,2012,40201,36
AL,Alabama,2013,190319,95
AK,Alaska,2013,59808,131
AZ,Arizona,2013,270469,549
AR,Arkansas,2013,114456,67
CA,California,2013,2223892,3349
CO,Colorado,2013,286835,375
CT,Connecticut,2013,240975,811
DE,Delaware,2013,61109,81
DC,District of Columbia,2013,111890,100
FL,Florida,2013,794644,1249
GA,Georgia,2013,454238,396
HI,Hawaii,2013,74630,195
ID,Idaho,2013,60854,71
IL,Illinois,2013,721876,1714
IN,Indiana,2013,311150,336
IA,Iowa,2013,162305,125
KS,Kansas,2013,143471,146
KY,Kentucky,2013,181135,154
LA,Louisiana,2013,234608,280
ME,Maine,2013,53348,94
MD,Maryland,2013,339443,824
MA,Massachusetts,2013,442090,1454
MI,Michigan,2013,429644,366
MN,Minnesota,2013,304063,656
MS,Mississippi,2013,103523,66
MO,Missouri,2013,275911,398
MT,Montana,2013,43229,60
NE,Nebraska,2013,106765,87
NV,Nevada,2013,128205,1244
NH,New Hampshire,2013,68558,144
NJ,New Jersey,2013,531072,1769
NM,New Mexico,2013,90834,114
NY,New York,2013,1330236,7178
NC,North Carolina,2013,454945,401
ND,North Dakota,2013,54965,72
OH,Ohio,2013,564683,490
OK,Oklahoma,2013,186007,72
OR,Oregon,2013,196594,367
PA,Pennsylvania,2013,659792,1515
