state,statename,year,pop,area,pop_density
AL,Alabama,2012,4813946,52419,91.8358992
AK,Alaska,2012,730825,663267,1.101856417
AZ,Arizona,2012,6544211,113998,57.40636678
AR,Arkansas,2012,2949208,53179,55.45813197
CA,California,2012,38019006,163695,232.2551452
CO,Colorado,2012,5186330,104093,49.82400354
CT,Connecticut,2012,3597705,5544,648.9366883
DE,Delaware,2012,916868,2489,368.3680193
DC,District of Columbia,2012,635630,2489,255.3756529
FL,Florida,2012,19341327,65755,294.142301
GA,Georgia,2012,9911171,59425,166.7845351
HI,Hawaii,2012,1392772,10931,127.4148751
ID,Idaho,2012,1594673,83570,19.08188345
IL,Illinois,2012,12878494,57914,222.3727251
IN,Indiana,2012,6535665,36418,179.4624911
IA,Iowa,2012,3074386,56271,54.63535391
KS,Kansas,2012,2885316,82276,35.06874423
KY,Kentucky,2012,4383673,40410,108.479906
LA,Louisiana,2012,4602681,51840,88.78628472
ME,Maine,2012,1328101,35385,37.53288116
MD,Maryland,2012,5891680,12407,474.8674136
MA,Massachusetts,2012,6659627,10555,630.9452392
MI,Michigan,2012,9886610,96716,102.2231068
MN,Minnesota,2012,5377695,86938,61.85666797
MS,Mississippi,2012,2982963,48431,61.59201751
MO,Missouri,2012,6023267,69704,86.41207104
MT,Montana,2012,1003522,147042,6.824730349
NE,Nebraska,2012,1854862,77358,23.97763644
NV,Nevada,2012,2752410,110560,24.89517004
NH,New Hampshire,2012,1320923,9350,141.2751872
NJ,New Jersey,2012,8882095,8722,1018.355308
NM,New Mexico,2012,2083590,121589,17.13633635
NY,New York,2012,19625409,54556,359.7296173
NC,North Carolina,2012,9755299,53818,181.2646141
ND,North Dakota,2012,701380,70700,9.920509194
OH,Ohio,2012,11546969,44825,257.6010931
OK,Oklahoma,2012,3815298,69899,54.58301263
OR,Oregon,2012,3893920,98380,39.58040252
PA,Pennsylvania,2012,12768034,46056,277.228461
RI,Rhode Island,2012,1052761,1545,681.3987055
SC,South Carolina,2012,4719009,32020,147.3769207
SD,South Dakota,2012,832576,77121,10.79571064
TN,Tennessee,2012,6450632,42144,153.0616932
TX,Texas,2012,26078327,268580,97.09705488
UT,Utah,2012,2854222,84898,33.61942566
VT,Vermont,2012,625606,9615,65.06562663
VA,Virginia,2012,8188656,42774,191.4400337
WA,Washington,2012,6890899,71300,96.64654979
WV,West Virginia,2012,1855360,24230,76.57284358
WI,Wisconsin,2012,5721075,65498,87.34732358
WY,Wyoming,2012,576608,97813,5.895003732
AL,Alabama,2013,4827660,52419,92.09752189
AK,Alaska,2013,736760,663267,1.110804548
AZ,Arizona,2013,6616124,113998,58.03719363
AR,Arkansas,2013,2956780,53179,55.600519
CA,California,2013,38347383,163695,234.2611747
CO,Colorado,2013,5262556,104093,50.55629101
CT,Connecticut,2013,3602470,5544,649.796176
DE,Delaware,2013,925114,2489,371.6809964
DC,District of Columbia,2013,650114,2489,261.1948574
FL,Florida,2013,19584927,65755,297.8469622
GA,Georgia,2013,9981773,59425,167.972621
HI,Hawaii,2013,1408038,10931,128.8114537
ID,Idaho,2013,1610187,83570,19.26752423
IL,Illinois,2013,12890403,57914,222.5783576
IN,Indiana,2013,6567484,36418,180.3362074
IA,Iowa,2013,3089876,56271,54.91062892
KS,Kansas,2013,2892900,82276,35.16092178
KY,Kentucky,2013,4399121,40410,108.8621876
LA,Louisiana,2013,4626795,51840,89.25144676
ME,Maine,2013,1327975,35385,37.52932033
MD,Maryland,2013,5932654,12407,478.1699041
MA,Massachusetts,2013,6711138,10555,635.8254856
MI,Michigan,2013,9899219,96716,102.3534782
MN,Minnesota,2013,5416074,86938,62.2981205
MS,Mississippi,2013,2987721,48431,61.69026037
MO,Missouri,2013,6041142,69704,86.66851257
MT,Montana,2013,1011921,147042,6.881850084
NE,Nebraska,2013,1867414,77358,24.13989503
NV,Nevada,2013,2786547,110560,25.20393452
NH,New Hampshire,2013,1322622,9350,141.4568984
NJ,New Jersey,2013,8913735,8722,1021.982917
NM,New Mexico,2013,2085161,121589,17.14925692
NY,New York,2013,19712514,54556,361.3262336
NC,North Carolina,2013,9849812,53818,183.0207737
ND,North Dakota,2013,722908,70700,10.22500707
OH,Ohio,2013,11567845,44825,258.0668154
OK,Oklahoma,2013,3849840,69899,55.07718279
OR,Oregon,2013,3919664,98380,39.84208172
PA,Pennsylvania,2013,12778450,46056,277.4546205
RI,Rhode Island,2013,1052784,1545,681.4135922
SC,South Carolina,2013,4765862,32020,148.8401624
SD,South Dakota,2013,842513,77121,10.92456011
TN,Tennessee,2013,6490795,42144,154.0146877
TX,Texas,2013,26479279,268580,98.58991362
UT,Utah,2013,2899961,84898,34.15817805
