id,statename,occ_school,vmt_school
1,Alabama,16.06283677,11116.49519
2,Alaska,14.91668555,7184.948694
3,Arizona,14.4438202,11252.89422
4,Arkansas,29.83728395,9651.368049
5,California,9.258466036,10508.90443
6,Colorado,15.25509657,12356.2564
7,Connecticut,12.52019134,12000
8,District of Columbia,10.5868975,12000
9,Delaware,23.16842105,11515.15152
10,Florida,15.21880476,17219.03482
11,Georgia,25.21395034,9642.356979
12,Hawaii,9.665354981,12000
13,Idaho,17.49832237,8146.48952
14,Illinois,18.21386463,7553.05972
15,Indiana,12.52311186,12000
16,Iowa,21.83080149,9343.202667
17,Kansas,12.98005035,9323.396556
18,Kentucky,11.28720517,15131.47351
19,Louisiana,13.29375861,12000
20,Maine,17.60833598,9958.808619
21,Maryland,10.13472927,17261.63385
22,Massachusetts,12.44551726,12000
23,Michigan,15.16850614,10211.91474
24,Minnesota,9.779605286,13919.33624
25,Mississippi,30.07229088,9645.866866
26,Missouri,19.32871288,8969.724339
27,Montana,15.41696353,3307.301042
28,Nebraska,7.087362488,4422.086847
29,Nevada,16.28294725,12458.09563
30,New Hampshire,11.57577491,12000
31,New Jersey,12.27313875,12000
32,New Mexico,20.7459063,14547.46075
33,New York,12.25927485,12000
34,North Carolina,16.46624589,13777.78785
35,North Dakota,8.432864988,24872.01641
36,Ohio,10.79,11315.77293
37,Oklahoma,12.13155249,12000
38,Oregon,11.8492099,12561.57501
39,Pennsylvania,7.945299628,18253.18082
40,Rhode Island,12.25158238,12000
41,South Carolina,17.00833104,15716.628
42,South Dakota,12.09034884,12000
43,Tennessee,23.77196216,11360.22827
44,Texas,28.20138734,2477.247344
45,Utah,20.55436016,11031.37617
46,Vermont,11.06730451,12000
47,Virginia,26.19279734,7680.088826
48,Washington,16.86611885,12529.0804
49,West Virginia,19.66828949,14130.45326
50,Wisconsin,12.29147849,12000
51,Wyoming,7.226058641,12928.0058
