id,UACE,areaname,state,statename,pop,UANAME,CBSA,metro_name,district_count,avg_enroll
1,199,"Aberdeen--Bel Air South--Bel Air North, MD",MD,Maryland,213751,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",12580,"Baltimore-Towson, MD Metro Area",7,56586
1,199,"Aberdeen--Bel Air South--Bel Air North, MD",MD,Maryland,213751,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",196,4009
2,766,"Akron, OH",OH,Ohio,569499,"Akron, OH Urbanized Area",10420,"Akron, OH Metro Area",29,3212
2,766,"Akron, OH",OH,Ohio,569499,"Akron, OH Urbanized Area",15940,"Canton-Massillon, OH Metro Area",19,3147
2,766,"Akron, OH",OH,Ohio,569499,"Akron, OH Urbanized Area",17460,"Cleveland-Elyria-Mentor, OH Metro Area",67,3902
2,766,"Akron, OH",OH,Ohio,569499,"Akron, OH Urbanized Area",49300,"Wooster, OH Micro Area",,
3,970,"Albany--Schenectady, NY",NY,New York,594962,"Albany--Schenectady, NY Urbanized Area",10580,"Albany-Schenectady-Troy, NY Metro Area",48,2423
4,1171,"Albuquerque, NM",NM,New Mexico,741318,"Albuquerque, NM Urbanized Area",10740,"Albuquerque, NM Metro Area",10,13087
5,1495,"Allentown, PA--NJ",PA,Pennsylvania,632208,"Allentown, PA--NJ Urbanized Area",10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",46,2525
5,1495,"Allentown, PA--NJ",PA,Pennsylvania,632208,"Allentown, PA--NJ Urbanized Area",20700,"East Stroudsburg, PA Micro Area",4,6751
5,1495,"Allentown, PA--NJ",PA,Pennsylvania,632208,"Allentown, PA--NJ Urbanized Area",35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",600,2944
5,1495,"Allentown, PA--NJ",PA,Pennsylvania,632208,"Allentown, PA--NJ Urbanized Area",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",196,4009
5,1495,"Allentown, PA--NJ",PA,Pennsylvania,632208,"Allentown, PA--NJ Urbanized Area",39740,"Reading, PA Metro Area",18,3755
6,2305,"Anchorage, AK",AK,Alaska,251243,"Anchorage, AK Urbanized Area",11260,"Anchorage, AK Metro Area",4,16572
7,2602,"Ann Arbor, MI",MI,Michigan,306022,"Ann Arbor, MI Urbanized Area",11460,"Ann Arbor, MI Metro Area",9,4687
7,2602,"Ann Arbor, MI",MI,Michigan,306022,"Ann Arbor, MI Urbanized Area",19820,"Detroit-Warren-Livonia, MI Metro Area",101,5853
8,2683,"Antioch, CA",CA,California,277634,"Antioch, CA Urbanized Area",41860,"San Francisco-Oakland-Fremont, CA Metro Area",79,7295
9,2764,"Appleton, WI",WI,Wisconsin,216154,"Appleton, WI Urbanized Area",11540,"Appleton, WI Metro Area",13,2988
9,2764,"Appleton, WI",WI,Wisconsin,216154,"Appleton, WI Urbanized Area",36780,"Oshkosh-Neenah, WI Metro Area",5,4520
10,3358,"Asheville, NC",NC,North Carolina,280648,"Asheville, NC Urbanized Area",11700,"Asheville, NC Metro Area",5,10622
10,3358,"Asheville, NC",NC,North Carolina,280648,"Asheville, NC Urbanized Area",14820,"Brevard, NC Micro Area",,
10,3358,"Asheville, NC",NC,North Carolina,280648,"Asheville, NC Urbanized Area",99999,Not in a metro/micro area,,
