id,UACE,areaname,state,statename,pop
1,199,"Aberdeen--Bel Air South--Bel Air North, MD",MD,Maryland,213751
2,766,"Akron, OH",OH,Ohio,569499
3,970,"Albany--Schenectady, NY",NY,New York,594962
4,1171,"Albuquerque, NM",NM,New Mexico,741318
5,1495,"Allentown, PA--NJ",PA,Pennsylvania,632208
6,2305,"Anchorage, AK",AK,Alaska,251243
7,2602,"Ann Arbor, MI",MI,Michigan,306022
8,2683,"Antioch, CA",CA,California,277634
9,2764,"Appleton, WI",WI,Wisconsin,216154
10,3358,"Asheville, NC",NC,North Carolina,280648
11,3817,"Atlanta, GA",GA,Georgia,4515419
12,3898,"Atlantic City, NJ",NJ,New Jersey,248402
13,4222,"Augusta-Richmond County, GA--SC",GA,Georgia,283283
14,4384,"Austin, TX",TX,Texas,1362416
15,4681,"Bakersfield, CA",CA,California,523994
16,4843,"Baltimore, MD",MD,Maryland,2203663
17,5167,"Barnstable Town, MA",MA,Massachusetts,246695
18,5680,"Baton Rouge, LA",LA,Louisiana,594309
19,7786,"Birmingham, AL",AL,Alabama,749495
20,8785,"Boise City, ID",ID,Idaho,349684
21,8974,"Bonita Springs, FL",FL,Florida,310298
22,9271,"Boston, MA--NH--RI",MA,Massachusetts,4087709
23,10162,"Bridgeport--Stamford, CT--NY",CT,Connecticut,877630
24,10972,"Brownsville, TX",TX,Texas,217585
25,11350,"Buffalo, NY",NY,New York,935906
26,13375,"Canton, OH",OH,Ohio,279245
27,13510,"Cape Coral, FL",FL,Florida,530290
28,15508,"Charleston--North Charleston, SC",SC,South Carolina,548404
29,15670,"Charlotte, NC--SC",NC,North Carolina,1180484
30,15832,"Chattanooga, TN--GA",TN,Tennessee,302748
31,16264,"Chicago, IL--IN",IL,Illinois,8018716
32,16264,"Chicago, IL--IN",IN,Indiana,589492
33,16885,"Cincinnati, OH--KY--IN",KY,Kentucky,328060
34,16885,"Cincinnati, OH--KY--IN",OH,Ohio,1286542
35,17668,"Cleveland, OH",OH,Ohio,1780673
36,18856,"Colorado Springs, CO",CO,Colorado,559409
37,18964,"Columbia, SC",SC,South Carolina,549777
38,19234,"Columbus, OH",OH,Ohio,1368035
39,19504,"Concord, CA",CA,California,615968
40,19558,"Concord, NC",NC,North Carolina,214881
41,19755,"Conroe--The Woodlands, TX",TX,Texas,239938
42,20287,"Corpus Christi, TX",TX,Texas,320069
43,22042,"Dallas--Fort Worth--Arlington, TX",TX,Texas,5121892
44,22528,"Dayton, OH",OH,Ohio,724091
45,23500,"Denton--Lewisville, TX",TX,Texas,366174
46,23527,"Denver--Aurora, CO",CO,Colorado,2374203
47,23743,"Des Moines, IA",IA,Iowa,450070
48,23824,"Detroit, MI",MI,Michigan,3734090
49,25228,"Durham, NC",NC,North Carolina,347602
50,27253,"El Paso, TX--NM",TX,Texas,772374
51,28117,"Eugene, OR",OR,Oregon,247421
52,28333,"Evansville, IN--KY",IN,Indiana,200768
