State,Zip,CarrierType,VehicleType,cnt
AK,99501,FOR HIRE,BUS NON SCHOOL,3
AK,99501,INDIVIDUAL,BUS NON SCHOOL,3
AK,99501,INDIVIDUAL,BUS SCHOOL,3
AK,99501,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
AK,99501,PRIVATE,BUS NON SCHOOL,15
AK,99501,PRIVATE,BUS SCHOOL,10
AK,99502,FINANCE LEASE,BUS NON SCHOOL,2
AK,99502,FINANCE LEASE,BUS SCHOOL,2
AK,99502,FOR HIRE,BUS NON SCHOOL,18
AK,99502,INDIVIDUAL,BUS NON SCHOOL,6
AK,99502,INDIVIDUAL,BUS SCHOOL,2
AK,99502,PRIVATE,BUS NON SCHOOL,1
AK,99502,PRIVATE,BUS SCHOOL,4
AK,99503,FOR HIRE,BUS NON SCHOOL,3
AK,99503,FOR HIRE,BUS SCHOOL,1
AK,99503,INDIVIDUAL,BUS NON SCHOOL,4
AK,99503,INDIVIDUAL,BUS SCHOOL,3
AK,99503,PRIVATE,BUS NON SCHOOL,4
AK,99503,PRIVATE,BUS SCHOOL,20
AK,99504,INDIVIDUAL,BUS NON SCHOOL,2
AK,99504,INDIVIDUAL,BUS SCHOOL,7
AK,99504,PRIVATE,BUS SCHOOL,11
AK,99506,INDIVIDUAL,BUS SCHOOL,1
AK,99507,FINANCE LEASE,BUS NON SCHOOL,2
AK,99507,INDIVIDUAL,BUS NON SCHOOL,1
AK,99507,INDIVIDUAL,BUS SCHOOL,5
AK,99507,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,10
AK,99507,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,28
AK,99507,PRIVATE,BUS NON SCHOOL,2
AK,99507,PRIVATE,BUS SCHOOL,11
AK,99507,STATE GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
AK,99508,FINANCE LEASE,BUS NON SCHOOL,1
AK,99508,INDIVIDUAL,BUS NON SCHOOL,3
AK,99508,INDIVIDUAL,BUS SCHOOL,4
AK,99508,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
AK,99508,PRIVATE,BUS NON SCHOOL,2
AK,99508,STATE GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
AK,99508,STATE GOVERNMENT (U.S. ONLY),BUS SCHOOL,3
AK,99514,INDIVIDUAL,BUS SCHOOL,2
AK,99515,FINANCE LEASE,BUS NON SCHOOL,1
AK,99515,FOR HIRE,BUS NON SCHOOL,1
AK,99515,FOR HIRE,BUS SCHOOL,4
AK,99515,INDIVIDUAL,BUS SCHOOL,3
AK,99515,PRIVATE,BUS SCHOOL,3
AK,99516,INDIVIDUAL,BUS NON SCHOOL,2
AK,99516,INDIVIDUAL,BUS SCHOOL,6
AK,99516,PRIVATE,BUS SCHOOL,6
AK,99517,FOR HIRE,BUS NON SCHOOL,2
AK,99517,INDIVIDUAL,BUS SCHOOL,3
AK,99517,PRIVATE,BUS NON SCHOOL,1
AK,99518,FOR HIRE,BUS NON SCHOOL,20
AK,99518,FOR HIRE,BUS SCHOOL,1
AK,99518,INDIVIDUAL,BUS NON SCHOOL,2
AK,99518,INDIVIDUAL,BUS SCHOOL,1
AK,99518,PRIVATE,BUS SCHOOL,4
AK,99520,INDIVIDUAL,BUS SCHOOL,1
AK,99520,PRIVATE,BUS SCHOOL,1
AK,99521,PRIVATE,BUS NON SCHOOL,1
AK,99522,PRIVATE,BUS SCHOOL,1
AK,99556,INDIVIDUAL,BUS NON SCHOOL,1
AK,99556,INDIVIDUAL,BUS SCHOOL,2
AK,99559,FOR HIRE,BUS SCHOOL,13
AK,99559,INDIVIDUAL,BUS SCHOOL,2
AK,99559,PRIVATE,BUS SCHOOL,3
AK,99566,INDIVIDUAL,BUS SCHOOL,1
AK,99566,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
AK,99567,INDIVIDUAL,BUS NON SCHOOL,1
AK,99567,INDIVIDUAL,BUS SCHOOL,4
AK,99572,PRIVATE,BUS SCHOOL,2
AK,99573,INDIVIDUAL,BUS SCHOOL,2
AK,99574,INDIVIDUAL,BUS SCHOOL,2
AK,99574,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
AK,99576,INDIVIDUAL,BUS SCHOOL,1
AK,99576,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
AK,99576,PRIVATE,BUS SCHOOL,7
AK,99577,FOR HIRE,BUS SCHOOL,1
AK,99577,INDIVIDUAL,BUS NON SCHOOL,1
AK,99577,INDIVIDUAL,BUS SCHOOL,5
AK,99577,PRIVATE,BUS SCHOOL,3
AK,99586,INDIVIDUAL,BUS SCHOOL,1
AK,99587,INDIVIDUAL,BUS SCHOOL,2
AK,99587,PRIVATE,BUS SCHOOL,1
AK,99588,FOR HIRE,BUS SCHOOL,6
AK,99588,INDIVIDUAL,BUS SCHOOL,2
AK,99588,PRIVATE,BUS SCHOOL,3
AK,99603,INDIVIDUAL,BUS NON SCHOOL,2
AK,99603,INDIVIDUAL,BUS SCHOOL,8
AK,99605,INDIVIDUAL,BUS SCHOOL,1
AK,99605,PRIVATE,BUS SCHOOL,1
AK,99606,PRIVATE,BUS SCHOOL,1
AK,99610,INDIVIDUAL,BUS SCHOOL,4
AK,99611,FOR HIRE,BUS NON SCHOOL,3
AK,99611,INDIVIDUAL,BUS NON SCHOOL,1
AK,99611,INDIVIDUAL,BUS SCHOOL,7
AK,99611,PRIVATE,BUS NON SCHOOL,4
AK,99611,PRIVATE,BUS SCHOOL,4
AK,99611,U.S. GOVERNMENT,BUS SCHOOL,1
AK,99612,PRIVATE,BUS SCHOOL,1
AK,99613,FOR HIRE,BUS SCHOOL,1
AK,99615,FINANCE LEASE,BUS SCHOOL,2
AK,99615,FOR HIRE,BUS SCHOOL,7
AK,99615,INDIVIDUAL,BUS NON SCHOOL,1
AK,99615,INDIVIDUAL,BUS SCHOOL,2
AK,99615,PRIVATE,BUS NON SCHOOL,1
AK,99615,PRIVATE,BUS SCHOOL,3
AK,99623,FOR HIRE,BUS NON SCHOOL,3
AK,99623,INDIVIDUAL,BUS NON SCHOOL,1
AK,99623,INDIVIDUAL,BUS SCHOOL,9
AK,99623,PRIVATE,BUS SCHOOL,3
AK,99629,FOR HIRE,BUS NON SCHOOL,1
AK,99635,INDIVIDUAL,BUS SCHOOL,1
AK,99635,PRIVATE,BUS SCHOOL,4
AK,99639,INDIVIDUAL,BUS NON SCHOOL,1
AK,99639,INDIVIDUAL,BUS SCHOOL,1
AK,99645,FINANCE LEASE,BUS SCHOOL,2
AK,99645,FOR HIRE,BUS SCHOOL,7
AK,99645,INDIVIDUAL,BUS NON SCHOOL,3
AK,99645,INDIVIDUAL,BUS SCHOOL,9
AK,99645,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
AK,99645,PRIVATE,BUS NON SCHOOL,2
AK,99645,PRIVATE,BUS SCHOOL,9
AK,99654,FINANCE LEASE,BUS NON SCHOOL,1
AK,99654,FOR HIRE,BUS NON SCHOOL,1
AK,99654,FOR HIRE,BUS SCHOOL,5
AK,99654,INDIVIDUAL,BUS NON SCHOOL,3
AK,99654,INDIVIDUAL,BUS SCHOOL,11
AK,99654,PRIVATE,BUS NON SCHOOL,4
AK,99654,PRIVATE,BUS SCHOOL,8
AK,99658,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
AK,99661,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
AK,99664,FOR HIRE,BUS NON SCHOOL,5
AK,99664,FOR HIRE,BUS SCHOOL,1
AK,99664,INDIVIDUAL,BUS NON SCHOOL,1
AK,99664,INDIVIDUAL,BUS SCHOOL,6
AK,99664,PRIVATE,BUS SCHOOL,1
AK,99667,INDIVIDUAL,BUS SCHOOL,3
AK,99667,PRIVATE,BUS SCHOOL,6
AK,99669,FOR HIRE,BUS SCHOOL,6
AK,99669,INDIVIDUAL,BUS NON SCHOOL,2
AK,99669,INDIVIDUAL,BUS SCHOOL,7
AK,99669,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,8
AK,99669,PRIVATE,BUS SCHOOL,5
AK,99672,FOR HIRE,BUS NON SCHOOL,1
AK,99672,INDIVIDUAL,BUS NON SCHOOL,2
AK,99672,INDIVIDUAL,BUS SCHOOL,3
AK,99674,INDIVIDUAL,BUS SCHOOL,1
AK,99674,PRIVATE,BUS SCHOOL,8
AK,99676,INDIVIDUAL,BUS SCHOOL,6
AK,99676,PRIVATE,BUS SCHOOL,2
AK,99683,FOR HIRE,BUS NON SCHOOL,4
AK,99685,FOR HIRE,BUS SCHOOL,1
AK,99685,PRIVATE,BUS SCHOOL,1
AK,99686,FOR HIRE,BUS SCHOOL,5
AK,99686,FULL SERVICE LEASE,BUS SCHOOL,1
AK,99686,INDIVIDUAL,BUS NON SCHOOL,1
AK,99686,INDIVIDUAL,BUS SCHOOL,6
AK,99687,FOR HIRE,BUS NON SCHOOL,1
AK,99687,FOR HIRE,BUS SCHOOL,3
AK,99687,INDIVIDUAL,BUS SCHOOL,4
AK,99687,PRIVATE,BUS SCHOOL,2
AK,99688,INDIVIDUAL,BUS NON SCHOOL,1
AK,99688,INDIVIDUAL,BUS SCHOOL,2
AK,99689,FOR HIRE,BUS SCHOOL,1
AK,99689,INDIVIDUAL,BUS SCHOOL,1
AK,99694,INDIVIDUAL,BUS NON SCHOOL,1
AK,99694,INDIVIDUAL,BUS SCHOOL,2
AK,99701,FOR HIRE,BUS NON SCHOOL,20
AK,99701,FOR HIRE,BUS SCHOOL,7
AK,99701,FULL SERVICE LEASE,BUS SCHOOL,1
AK,99701,INDIVIDUAL,BUS SCHOOL,4
AK,99701,MANUFACTURER SPONSORED LEASE,BUS SCHOOL,1
AK,99701,PRIVATE,BUS NON SCHOOL,4
AK,99701,PRIVATE,BUS SCHOOL,30
AK,99703,INDIVIDUAL,BUS NON SCHOOL,1
AK,99703,INDIVIDUAL,BUS SCHOOL,1
AK,99705,FOR HIRE,BUS NON SCHOOL,1
AK,99705,FOR HIRE,BUS SCHOOL,5
AK,99705,INDIVIDUAL,BUS NON SCHOOL,3
AK,99705,INDIVIDUAL,BUS SCHOOL,14
AK,99705,PRIVATE,BUS NON SCHOOL,1
AK,99705,PRIVATE,BUS SCHOOL,6
AK,99706,INDIVIDUAL,BUS SCHOOL,1
AK,99706,PRIVATE,BUS SCHOOL,1
AK,99707,INDIVIDUAL,BUS SCHOOL,1
AK,99707,PRIVATE,BUS SCHOOL,2
AK,99708,FULL SERVICE LEASE,BUS SCHOOL,1
AK,99708,INDIVIDUAL,BUS NON SCHOOL,1
AK,99708,PRIVATE,BUS NON SCHOOL,4
AK,99708,PRIVATE,BUS SCHOOL,6
AK,99709,INDIVIDUAL,BUS NON SCHOOL,4
AK,99709,INDIVIDUAL,BUS SCHOOL,13
AK,99709,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,3
AK,99709,PRIVATE,BUS NON SCHOOL,18
AK,99709,PRIVATE,BUS SCHOOL,15
AK,99709,UTILITIES/COMMUNICATIONS,BUS SCHOOL,1
AK,99710,INDIVIDUAL,BUS SCHOOL,1
AK,99711,INDIVIDUAL,BUS NON SCHOOL,2
AK,99711,INDIVIDUAL,BUS SCHOOL,3
AK,99711,PRIVATE,BUS NON SCHOOL,1
AK,99712,INDIVIDUAL,BUS NON SCHOOL,2
AK,99712,INDIVIDUAL,BUS SCHOOL,11
AK,99714,INDIVIDUAL,BUS SCHOOL,2
AK,99716,INDIVIDUAL,BUS SCHOOL,2
AK,99720,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
AK,99723,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,13
AK,99723,PRIVATE,BUS SCHOOL,1
AK,99725,INDIVIDUAL,BUS SCHOOL,1
AK,99729,PRIVATE,BUS NON SCHOOL,1
AK,99734,FULL SERVICE LEASE,BUS NON SCHOOL,1
AK,99734,INDIVIDUAL,BUS NON SCHOOL,1
AK,99734,PRIVATE,BUS NON SCHOOL,2
AK,99734,PRIVATE,BUS SCHOOL,11
AK,99737,FOR HIRE,BUS SCHOOL,4
AK,99737,INDIVIDUAL,BUS NON SCHOOL,1
AK,99737,INDIVIDUAL,BUS SCHOOL,10
AK,99737,PRIVATE,BUS SCHOOL,3
AK,99738,INDIVIDUAL,BUS SCHOOL,1
AK,99738,PRIVATE,BUS SCHOOL,1
AK,99743,FOR HIRE,BUS SCHOOL,2
AK,99743,INDIVIDUAL,BUS SCHOOL,3
AK,99743,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
AK,99743,PRIVATE,BUS NON SCHOOL,1
AK,99743,PRIVATE,BUS SCHOOL,4
AK,99744,FOR HIRE,BUS SCHOOL,2
AK,99744,INDIVIDUAL,BUS SCHOOL,3
AK,99747,INDIVIDUAL,BUS SCHOOL,1
AK,99747,PRIVATE,BUS SCHOOL,1
AK,99755,FOR HIRE,BUS NON SCHOOL,6
AK,99755,FOR HIRE,BUS SCHOOL,1
AK,99755,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
AK,99755,PRIVATE,BUS NON SCHOOL,6
AK,99755,PRIVATE,BUS SCHOOL,8
AK,99755,U.S. GOVERNMENT,BUS SCHOOL,6
AK,99756,INDIVIDUAL,BUS NON SCHOOL,1
AK,99756,INDIVIDUAL,BUS SCHOOL,1
AK,99756,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
AK,99760,INDIVIDUAL,BUS NON SCHOOL,1
AK,99760,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,3
AK,99762,INDIVIDUAL,BUS SCHOOL,2
AK,99762,PRIVATE,BUS SCHOOL,6
AK,99764,FOR HIRE,BUS SCHOOL,1
AK,99764,PRIVATE,BUS SCHOOL,2
AK,99765,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
AK,99775,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
AK,99776,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
AK,99777,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
AK,99780,FINANCE LEASE,BUS SCHOOL,3
AK,99780,INDIVIDUAL,BUS NON SCHOOL,1
AK,99780,INDIVIDUAL,BUS SCHOOL,4
AK,99801,FINANCE LEASE,BUS NON SCHOOL,1
AK,99801,FINANCE LEASE,BUS SCHOOL,4
AK,99801,FOR HIRE,BUS NON SCHOOL,17
AK,99801,FOR HIRE,BUS SCHOOL,21
AK,99801,INDIVIDUAL,BUS NON SCHOOL,2
AK,99801,INDIVIDUAL,BUS SCHOOL,12
AK,99801,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,5
AK,99801,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
AK,99801,PRIVATE,BUS NON SCHOOL,1
AK,99801,PRIVATE,BUS SCHOOL,6
AK,99801,STATE GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,4
AK,99801,STATE GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
AK,99801,U.S. GOVERNMENT,BUS SCHOOL,1
AK,99802,FOR HIRE,BUS NON SCHOOL,1
AK,99802,FOR HIRE,BUS SCHOOL,2
AK,99802,PRIVATE,BUS NON SCHOOL,1
AK,99802,U.S. GOVERNMENT,BUS SCHOOL,1
AK,99821,FOR HIRE,BUS SCHOOL,4
AK,99826,PRIVATE,BUS SCHOOL,2
AK,99827,INDIVIDUAL,BUS NON SCHOOL,3
AK,99827,INDIVIDUAL,BUS SCHOOL,3
AK,99827,PRIVATE,BUS NON SCHOOL,3
AK,99827,PRIVATE,BUS SCHOOL,21
AK,99829,FOR HIRE,BUS SCHOOL,1
AK,99830,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,3
AK,99833,PRIVATE,BUS SCHOOL,4
AK,99835,FOR HIRE,BUS SCHOOL,1
AK,99835,INDIVIDUAL,BUS NON SCHOOL,2
AK,99835,INDIVIDUAL,BUS SCHOOL,7
AK,99835,PRIVATE,BUS NON SCHOOL,1
AK,99835,PRIVATE,BUS SCHOOL,6
AK,99835,U.S. GOVERNMENT,BUS NON SCHOOL,1
AK,99840,FOR HIRE,BUS NON SCHOOL,22
AK,99840,INDIVIDUAL,BUS NON SCHOOL,1
AK,99840,PRIVATE,BUS NON SCHOOL,3
AK,99840,PRIVATE,BUS SCHOOL,1
AK,99901,FOR HIRE,BUS NON SCHOOL,15
AK,99901,FOR HIRE,BUS SCHOOL,5
AK,99901,INDIVIDUAL,BUS NON SCHOOL,5
AK,99901,INDIVIDUAL,BUS SCHOOL,3
AK,99901,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,5
AK,99901,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
AK,99901,PRIVATE,BUS NON SCHOOL,3
AK,99901,PRIVATE,BUS SCHOOL,3
AK,99919,INDIVIDUAL,BUS NON SCHOOL,1
AK,99919,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,4
