"state","statename","occ_motor","vmt_motor"
"AL","Alabama",47.477126945,38385
"AK","Alaska",45.0618752813463,38385
"AZ","Arizona",40.8667693188883,38385
"AR","Arkansas",45.754030276368,38385
"CA","California",33.3969865529412,38385
"CO","Colorado",42.3010334337611,38385
"CT","Connecticut",38.9443430065217,38385
"DE","Delaware",39.278826912,38385
"DC","District of Columbia",48.318366662963,38385
"FL","Florida",40.3129538216129,38385
"GA","Georgia",41.532662952963,38385
"HI","Hawaii",43.7906217082285,38385
"ID","Idaho",45.798669704127,38385
"IL","Illinois",47.1348760790909,38385
"IN","Indiana",43.8309959469207,38385
"IA","Iowa",43.9399710055993,38385
"KS","Kansas",43.6159629100156,38385
"KY","Kentucky",45.8108582275,38385
"LA","Louisiana",43.6986999326808,38385
"ME","Maine",37.9996031666667,38385
"MD","Maryland",48.1862485899503,38385
"MA","Massachusetts",44.1871937851899,38385
"MI","Michigan",40.692163825,38385
"MN","Minnesota",41.7017107295033,38385
"MS","Mississippi",46.5722172152819,38385
"MO","Missouri",33.3969865529412,38385
"MT","Montana",46.4866684018704,38385
"NE","Nebraska",44.9552449434628,38385
"NV","Nevada",38.2832751591039,38385
"NH","New Hampshire",41.0875792666667,38385
"NJ","New Jersey",29.4701062431803,38385
"NM","New Mexico",45.0225252125732,38385
"NY","New York",31.8640106873168,38385
"NC","North Carolina",45.032650658125,38385
"ND","North Dakota",45.4886711331987,38385
"OH","Ohio",43.417331575625,38385
"OK","Oklahoma",45.5264969189234,38385
"OR","Oregon",42.0853109426518,38385
"PA","Pennsylvania",38.1856608070395,38385
"RI","Rhode Island",44.032611528,38385
"SC","South Carolina",45.2259110272222,38385
"SD","South Dakota",45.7941851427127,38385
"TN","Tennessee",47.477126945,38385
"TX","Texas",40.5755805304046,38385
"UT","Utah",44.4607685734682,38385
"VT","Vermont",43.6832156357896,38385
"VA","Virginia",42.7133416257937,38385
"WA","Washington",41.3851012075535,38385
"WV","West Virginia",49.0435884691024,38385
"WI","Wisconsin",41.0626273562381,38385
"WY","Wyoming",47.2585834619331,38385
