"state","statename","occ_school","vmt_school"
"AL","Alabama",16.0628367739496,11116.4951892239
"AK","Alaska",14.9166855463945,7184.94869402985
"AZ","Arizona",14.4438202024251,11252.8942227184
"AR","Arkansas",29.8372839506173,9651.3680494263
"CA","California",9.25846603585109,10508.904425437
"CO","Colorado",15.2550965738344,12356.2564038172
"CT","Connecticut",12.3145927963913,12000
"DE","Delaware",23.1684210526316,11515.1515151515
"DC","District of Columbia",12.239721849369,12000
"FL","Florida",15.2188047571654,17219.0348163794
"GA","Georgia",25.2139503444429,9642.35697940503
"HI","Hawaii",9.56441338240641,12000
"ID","Idaho",17.498322371244,8146.48952042629
"IL","Illinois",18.2138646263279,7553.05971989179
"IN","Indiana",12.3104702779403,12000
"IA","Iowa",21.8308014867707,9343.20266666667
"KS","Kansas",12.9800503472239,9323.39655596556
"KY","Kentucky",11.2872051698233,15131.4735094101
"LA","Louisiana",13.0385251750847,12000
"ME","Maine",17.608335984728,9958.80861850444
"MD","Maryland",10.1347292658491,17261.6338500209
"MA","Massachusetts",12.2403101250046,12000
"MI","Michigan",15.1685061356804,10211.9147350471
"MN","Minnesota",9.779605285864,13919.3362398273
"MS","Mississippi",30.072290881963,9645.86686556032
"MO","Missouri",19.32871288189,8969.72433919786
"MT","Montana",15.4169635282881,3307.30104230533
"NE","Nebraska",7.08736248848898,4422.08684665514
"NV","Nevada",16.2829472486893,12458.0956303725
"NH","New Hampshire",11.6522453498483,12000
"NJ","New Jersey",12.1205201416973,12000
"NM","New Mexico",20.7459063047839,14547.4607458292
"NY","New York",12.0971872481043,12000
"NC","North Carolina",16.4662458909263,13777.7878488328
"ND","North Dakota",8.4328649880773,24872.0164126612
"OH","Ohio",10.79,11315.7729301565
"OK","Oklahoma",12.024634397269,12000
"OR","Oregon",11.8492098984873,12561.5750061989
"PA","Pennsylvania",7.94529962812151,18253.1808205223
"RI","Rhode Island",11.7499003787906,12000
"SC","South Carolina",17.0083310369262,15716.6279969064
"SD","South Dakota",11.9500727698087,12000
"TN","Tennessee",23.7719621617862,11360.2282704126
"TX","Texas",28.2013873448434,2477.24734366036
"UT","Utah",20.5543601585604,11031.3761658031
"VT","Vermont",11.3500332778991,12000
"VA","Virginia",26.1927973386895,7680.08882646692
"WA","Washington",16.8661188512904,12529.0804040404
"WV","West Virginia",19.6682894866092,14130.4532616005
"WI","Wisconsin",12.1517317143198,12000
"WY","Wyoming",7.22605864137638,12928.0058027079
