"state","statename","occ_transit","vmt_transit"
"AK","Alaska",7.10338916353741,26446
"AL","Alabama",5.25211289622335,25034
"AR","Arkansas",4.96575285264231,32140
"AZ","Arizona",7.38750285456184,31136
"CA","California",10.3512420825453,28431
"CO","Colorado",8.10618435458908,31214
"CT","Connecticut",7.20479685634441,26362
"DC","District of Columbia",8.09102807360725,26477
"DE","Delaware",4.14207724994703,28147
"FL","Florida",7.26776848197412,34336
"GA","Georgia",8.99568681950093,28752
"HI","Hawaii",14.9840601834457,30398
"IA","Iowa",6.7231614242917,18731
"ID","Idaho",6.58926373591694,22749
"IL","Illinois",8.13376452051798,28642
"IN","Indiana",5.33589917357017,30810
"KS","Kansas",5.20348018726548,15883
"KY","Kentucky",6.48003072436783,30093
"LA","Louisiana",6.78512278067033,34758
"MA","Massachusetts",7.53811465716148,22757
"MD","Maryland",9.91372387319915,30083
"ME","Maine",6.28975942661309,16878
"MI","Michigan",7.65161373282631,26021
"MN","Minnesota",7.15820371401665,29107
"MO","Missouri",6.61115472179489,39022
"MS","Mississippi",4.80003735430093,27105
"MT","Montana",4.55191513013219,20321
"NC","North Carolina",6.61300520188512,32260
"ND","North Dakota",4.72128379560708,26532
"NE","Nebraska",4.06746466376789,28801
"NH","New Hampshire",5.9590558205595,21408
"NJ","New Jersey",15.6262367196631,30706
"NM","New Mexico",5.94635378121699,27310
"NV","Nevada",10.1414036575204,29243
"NY","New York",12.3209289279198,24418
"OH","Ohio",6.29126362990932,29363
"OK","Oklahoma",5.7787977879547,35264
"OR","Oregon",10.5430316318104,29250
"PA","Pennsylvania",10.2693631389063,26991
"RI","Rhode Island",8.02922442234051,29333
"SC","South Carolina",4.9988148924457,27596
"SD","South Dakota",4.39626142652632,24054
"TN","Tennessee",6.08964843744939,24711
"TX","Texas",6.97194617887233,33519
"UT","Utah",6.49606788104943,23867
"VA","Virginia",7.2444874461863,27921
"VT","Vermont",7.31211380675185,18379
"WA","Washington",11.2433408640514,26621
"WI","Wisconsin",6.89536605218984,24748
"WV","West Virginia",4.47394522533249,31798
"WY","Wyoming",3.915409,34053
